current_time,object_appeared_time,object_disappeared_time,screenshot_path,object_class
2024-06-19 11:57:49,2024-06-19 11:57:49,2024-06-19 11:57:49,imagedetect\detected_20240619-115749.png,car
2024-06-19 11:57:49,2024-06-19 11:57:49,2024-06-19 11:57:49,imagedetect\detected_20240619-115749.png,car
2024-06-19 11:57:49,2024-06-19 11:57:49,2024-06-19 11:57:49,imagedetect\detected_20240619-115749.png,car
2024-06-19 11:57:49,2024-06-19 11:57:49,2024-06-19 11:57:49,imagedetect\detected_20240619-115749.png,car
2024-06-19 11:57:50,2024-06-19 11:57:50,2024-06-19 11:57:50,imagedetect\detected_20240619-115750.png,car
2024-06-19 11:57:50,2024-06-19 11:57:50,2024-06-19 11:57:50,imagedetect\detected_20240619-115750.png,car
2024-06-19 11:57:50,2024-06-19 11:57:50,2024-06-19 11:57:50,imagedetect\detected_20240619-115750.png,car
2024-06-19 11:57:50,2024-06-19 11:57:50,2024-06-19 11:57:50,imagedetect\detected_20240619-115750.png,car
2024-06-19 11:57:50,2024-06-19 11:57:50,2024-06-19 11:57:50,imagedetect\detected_20240619-115750.png,car
2024-06-19 11:57:51,2024-06-19 11:57:51,2024-06-19 11:57:51,imagedetect\detected_20240619-115751.png,car
2024-06-19 11:57:51,2024-06-19 11:57:51,2024-06-19 11:57:51,imagedetect\detected_20240619-115751.png,car
2024-06-19 11:57:51,2024-06-19 11:57:51,2024-06-19 11:57:51,imagedetect\detected_20240619-115751.png,car
2024-06-19 11:57:51,2024-06-19 11:57:51,2024-06-19 11:57:51,imagedetect\detected_20240619-115751.png,car
2024-06-19 11:57:51,2024-06-19 11:57:51,2024-06-19 11:57:51,imagedetect\detected_20240619-115751.png,car
2024-06-19 11:57:51,2024-06-19 11:57:51,2024-06-19 11:57:51,imagedetect\detected_20240619-115751.png,car
2024-06-19 11:57:52,2024-06-19 11:57:52,2024-06
-19 11:57:52,imagedetect\detected_20240619-115752.png,car
2024-06-19 11:57:52,2024-06-19 11:57:52,2024-06-19 11:57:52,imagedetect\detected_20240619-115752.png,car
2024-06-19 11:57:52,2024-06-19 11:57:52,2024-06-19 11:57:52,imagedetect\detected_20240619-115752.png,car
2024-06-19 11:58:13,2024-06-19 11:58:13,2024-06-19 11:58:13,imagedetect\detected_20240619-115813.png,person
2024-06-19 11:58:13,2024-06-19 11:58:13,2024-06-19 11:58:13,imagedetect\detected_20240619-115813.png,bus
2024-06-19 11:58:13,2024-06-19 11:58:13,2024-06-19 11:58:13,imagedetect\detected_20240619-115813.png,person
2024-06-19 11:58:14,2024-06-19 11:58:14,2024-06-19 11:58:14,imagedetect\detected_20240619-115814.png,person
2024-06-19 11:58:14,2024-06-19 11:58:14,2024-06-19 11:58:14,imagedetect\detected_20240619-115814.png,person
2024-06-19 11:58:14,2024-06-19 11:58:14,2024-06-19 11:58:14,imagedetect\detected_20240619-115814.png,person
2024-06-19 11:58:14,2024-06-19 11:58:14,2024-06-19 11:58:14,imagedetect\detected_20240619-115814.png,bus
2024-06-19 11:58:16,2024-06-19 11:58:16,2024-06-19 11:58:16,imagedetect\detected_20240619-115816.png,person
2024-06-19 11:58:16,2024-06-19 11:58:16,2024-06-19 11:58:16,imagedetect\detected_20240619-115816.png,person
2024-06-19 11:58:16,2024-06-19 11:58:16,2024-06-19 11:58:16,imagedetect\detected_20240619-115816.png,person
2024-06-19 11:58:17,2024-06-19 11:58:17,2024-06-19 11:58:17,imagedetect\detected_20240619-115817.png,person
2024-06-19 11:58:19,2024-06-19 11:58:19,2024-06-19 11:58:19,imagedetect\detected_20240619-115819.png,bus
2024-06-19 11:58:20,2024-06-19 11:58:20,2024-06-19 11:58:20,imagedetect\detected_20240619-115820.png,bus
2024-06-19 11:58:20,2024-06-19 11:58:20,2024-06-19 11:58:20,imagedetect\detected_20240619-115820.png,bus
2024-06-19 11:58:20,2024-06-19 11:58:20,2024-06-19 11:58:20,imagedetect\detected_20240619-115820.png,bus
2024-06-19 11:58:20,2024-06-19 11:58:20,2024-06-19 11:58:20,imagedetect\detected_20240619-115820.png,bus
2024-06-19 11:58:20,2024-06-19 11:58:20,2024-06-19 11:58:20,imagedetect\detected_20240619-115820.png,bus
2024-06-19 11:58:21,2024-06-19 11:58:21,2024-06-19 11:58:21,imagedetect\detected_20240619-115821.png,bus
2024-06-19 11:58:21,2024-06-19 11:58:21,2024-06-19 11:58:21,imagedetect\detected_20240619-115821.png,bus
2024-06-19 11:58:21,2024-06-19 11:58:21,2024-06-19 11:58:21,imagedetect\detected_20240619-115821.png,bus
2024-06-19 11:58:21,2024-06-19 11:58:21,2024-06-19 11:58:21,imagedetect\detected_20240619-115821.png,bus
2024-06-19 11:58:21,2024-06-19 11:58:21,2024-06-19 11:58:21,imagedetect\detected_20240619-115821.png,bus
2024-06-19 11:58:21,2024-06-19 11:58:21,2024-06-19 11:58:21,imagedetect\detected_20240619-115821.png,bus
2024-06-19 11:58:22,2024-06-19 11:58:22,2024-06-19 11:58:22,imagedetect\detected_20240619-115822.png,bus
